TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
538,495,92.0074,495,92.0074,0,188002,115439,61.4030

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,PIN,VALOR,MLP,UNE,VICTORIA,ELEFANTE,WINAQ,VAMOS,U R N G - MAIZ,PPN,TODOS,CREO,BIEN,CAMBIO,PHG,PODEMOS,FCN-NACION,VIVA,PR,MI FAMILIA,UR,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12659,"Retalhuleu",11,"Retalhuleu",1,1728,400,79,1,0,75,4,0,2,2,0,16,4,18,0,0,25,1,2,1,0,4,1,0,0,23,258,12,2,272,0,272,--,400,128,258,272,272,Algún campo sin dato,1,7a58335ac50e1acfa32150d60261e7fb21057af57193c8f1c6be4470789e815f,26/06/2023 02:09:59,ESCANER
12660,"Retalhuleu",11,"Retalhuleu",1,1728,400,79,0,1,76,4,2,1,1,0,23,4,8,0,1,30,0,0,0,0,4,0,1,1,17,253,13,1,267,0,267,--,400,133,253,267,267,Algún campo sin dato,1,c2c85d0b2f043c44a1fad4937b133a6ea1a5dae762a268a2f5ab113d1b76f101,26/06/2023 02:23:12,ESCANER
12661,"Retalhuleu",11,"Retalhuleu",1,1728,400,48,2,1,90,3,1,0,0,5,14,2,7,3,0,32,2,0,0,0,9,2,0,0,14,235,5,4,244,2,246,--,400,154,235,244,246,Algún campo sin dato,1,c33402262536624459ab2b65ba86bd22b502a4d37187259971ece0fa4c4bf609,26/06/2023 00:54:41,ESCANER
12662,"Retalhuleu",11,"Retalhuleu",1,1728,281,39,1,0,39,1,0,0,0,0,13,0,13,2,0,23,0,0,0,0,1,0,0,0,8,140,9,1,150,0,150,--,278,128,140,150,150,Algún campo sin dato,1,a4394a615e1c7d169221f75e56b31156ae10243cc2ea3663ca51ac0622d4f9a7,25/06/2023 23:05:16,ESCANER
12663,"Retalhuleu",11,"Retalhuleu",1,1728,281,29,0,0,38,2,2,0,2,1,5,0,10,1,0,16,0,0,0,1,3,0,2,1,8,121,19,2,142,0,142,--,281,139,121,142,142,Algún campo sin dato,1,fe42d3ab2b90b002e448b601a0c18d24869359f2c1a2ab9cef83da781c56aaab,25/06/2023 23:59:07,ESCANER
12664,"Retalhuleu",11,"Retalhuleu",1,1729,400,45,2,5,98,5,4,0,1,1,18,1,9,2,0,41,1,0,0,0,7,1,1,0,10,252,15,11,278,0,278,--,400,122,252,278,278,Algún campo sin dato,1,6baf703d8f6585998fb2a1bde02267c9fa475527fb91a494df36d36eb92b85c9,26/06/2023 01:58:54,ESCANER
12665,"Retalhuleu",11,"Retalhuleu",1,1729,400,55,0,3,96,0,4,4,1,3,14,2,8,1,2,32,0,2,0,1,11,2,0,2,12,255,29,13,297,0,297,--,400,103,255,297,297,Algún campo sin dato,1,e8bc41e5d2ab0281b3da315e54baa50b088587d6a5e5cb540668e695db37f97d,26/06/2023 01:35:13,ESCANER
12666,"Retalhuleu",11,"Retalhuleu",1,1729,400,40,3,5,95,6,4,0,2,2,18,5,7,1,1,49,1,0,0,0,18,0,1,0,16,274,35,8,317,0,317,--,400,83,274,317,317,Algún campo sin dato,1,a80f2ec8e5d6f135fd2a4349e85537dd253e6f2b3453e6dcc863e03a77ca0dd4,26/06/2023 02:23:06,ESCANER
12667,"Retalhuleu",11,"Retalhuleu",1,1729,400,48,1,4,78,4,4,1,0,1,13,5,8,1,1,36,1,1,0,0,17,2,1,0,11,238,20,4,262,0,262,--,400,135,238,262,262,Algún campo sin dato,1,b0bee5085c792c6a86adc92e54937b77969c6a1933d6b415b11abb6f352cfad3,26/06/2023 02:36:03,ESCANER
12668,"Retalhuleu",11,"Retalhuleu",1,1729,400,50,2,3,84,5,6,2,1,1,19,5,9,0,1,22,0,0,1,3,21,3,0,1,9,248,16,14,278,0,278,--,400,122,248,278,278,Algún campo sin dato,1,5805b912a3e81bc931f89e639333cd3e3260ae8a0f6bb61db701ffc68f5697d2,25/06/2023 23:12:03,ESCANER
12669,"Retalhuleu",11,"Retalhuleu",1,1729,400,39,1,3,81,1,2,0,2,2,21,0,6,2,0,32,0,0,0,0,4,1,1,1,12,211,33,6,250,0,250,--,400,150,211,250,250,Algún campo sin dato,1,75948b5534bd60a1336775e507f49a39ea7ef207c067bece92638923af4a0c17,26/06/2023 01:26:43,ESCANER
12670,"Retalhuleu",11,"Retalhuleu",1,1729,400,25,3,3,99,4,6,0,0,3,13,2,4,0,1,37,1,0,1,0,3,0,2,5,16,228,13,1,242,0,242,--,399,157,228,242,242,Algún campo sin dato,1,515f1fa6d3ee61801433f57aeec7fdcddbf96bd8b2b2a4406d606a549ea608ff,26/06/2023 02:04:34,ESCANER
12671,"Retalhuleu",11,"Retalhuleu",1,1729,349,38,2,4,85,7,3,0,1,2,14,3,9,0,1,28,0,0,1,1,6,2,1,3,23,234,11,3,248,0,248,--,349,101,234,248,248,Algún campo sin dato,1,279fafc61b95c9a9c3df5ce04b54c30e7da773ebfba1438fe83e706e58bfb8c7,26/06/2023 00:49:06,ESCANER
12672,"Retalhuleu",11,"Retalhuleu",1,1729,349,20,0,2,93,2,0,0,0,3,10,4,4,2,0,27,0,0,1,0,2,0,0,3,9,182,17,1,200,0,200,--,349,149,182,200,200,Algún campo sin dato,1,5a9ef67478ff1317bf8e33741b53ba1ba2020a3073a348eae1e4ce1782daa7f7,26/06/2023 00:09:25,ESCANER
12673,"Retalhuleu",11,"Retalhuleu",1,1730,400,41,5,3,85,1,5,0,0,5,15,3,19,4,1,36,0,0,0,0,11,0,0,3,8,245,23,4,272,0,272,--,400,128,245,272,272,Algún campo sin dato,1,fbccd35e2a1923884e993c8373fba217ff9d4a0e3fc3ad75ba53b84d1a1d5ff8,26/06/2023 02:03:38,ESCANER
12674,"Retalhuleu",11,"Retalhuleu",1,1730,400,71,1,0,71,1,3,1,1,4,23,3,9,1,0,37,1,0,1,1,16,3,0,0,12,260,35,6,301,0,301,--,400,99,260,301,301,Algún campo sin dato,1,b802d57569218228ef363aa79bd3bd77ebbecc8118c45a1517ee3065be298881,26/06/2023 00:49:35,ESCANER
12675,"Retalhuleu",11,"Retalhuleu",1,1730,400,57,7,3,71,1,4,0,1,3,17,5,3,2,0,41,0,0,0,2,9,1,3,3,12,245,38,5,288,0,288,--,400,112,245,288,288,Algún campo sin dato,1,e2b71b3aa786d3f05b278bb858d901e7e7525342916fe6a20dc01b48a448393e,25/06/2023 23:46:15,ESCANER
12676,"Retalhuleu",11,"Retalhuleu",1,1730,400,73,3,6,69,0,6,1,0,0,22,2,14,1,1,43,0,1,1,5,14,2,4,1,14,283,27,1,311,0,311,--,400,89,283,311,311,Algún campo sin dato,1,b925b40f40fe504a37d7493a6c85764a19396245fc5e85e63725fea175b3ea21,26/06/2023 02:12:00,ESCANER
12677,"Retalhuleu",11,"Retalhuleu",1,1731,400,46,3,2,63,1,5,2,2,4,25,4,13,0,1,35,1,1,0,1,13,0,1,1,15,239,30,3,272,4,276,--,400,124,239,272,276,Algún campo sin dato,1,5aaa0d0c761434a70db3b6138814a44e691b7b79b06d876cef9441862f8665f2,26/06/2023 00:45:39,ESCANER
12678,"Retalhuleu",11,"Retalhuleu",1,1731,400,50,3,2,72,4,1,1,2,2,24,5,9,2,3,33,1,1,0,0,9,1,0,2,15,242,18,1,261,0,261,--,400,139,242,261,261,Algún campo sin dato,1,06e745183377f709c1e52ada93b77d9d1cd78f15d6c6430de09c19770a9f3610,25/06/2023 23:33:20,ESCANER
12679,"Retalhuleu",11,"Retalhuleu",1,1731,400,58,1,1,73,3,2,1,1,4,25,6,18,3,1,40,1,0,0,2,6,1,1,4,15,267,24,3,294,0,294,--,400,106,267,294,294,Algún campo sin dato,1,61e69371a48af66b3ddb25a9d383d1236b1e502e4035b67a50e6c73477477a03,26/06/2023 00:41:40,ESCANER
12680,"Retalhuleu",11,"Retalhuleu",1,1731,400,45,11,4,70,1,3,1,1,5,19,4,12,1,0,27,0,0,1,1,11,2,1,2,17,239,26,11,276,0,276,--,400,124,239,276,276,Algún campo sin dato,1,b7694511062d1ec7d0da2961e313f04a30852ae234d04406bb1ab67af2f09697,26/06/2023 00:50:01,ESCANER
12681,"Retalhuleu",11,"Retalhuleu",1,1731,400,55,0,6,82,0,2,2,1,7,29,2,15,3,1,26,0,0,0,2,9,1,0,0,16,259,23,1,283,0,283,--,400,117,259,283,283,Algún campo sin dato,1,cfd4cdae5ad3bc17cfeef673510559f77447566bfaf2426a77ef7a02454cb483,25/06/2023 22:54:42,ESCANER
12682,"Retalhuleu",11,"Retalhuleu",1,1731,400,44,4,3,84,4,3,0,0,7,15,1,17,0,1,27,0,0,0,3,14,0,0,1,10,238,16,5,259,0,259,--,400,141,238,259,259,Algún campo sin dato,1,4aa4cfabef482ca8c0cf96ec9536684df1c7d678df7d0cf3a5dc9815e944581a,26/06/2023 01:34:23,ESCANER
12683,"Retalhuleu",11,"Retalhuleu",1,1731,400,51,3,1,79,2,5,0,0,2,16,2,11,0,0,29,0,0,0,0,16,1,0,6,24,248,22,2,272,0,272,1,400,127,248,272,272,,1,0ad5574da33dc7235e45b6ca0cd8745bdcf517000d112402485b0a5b5b11936f,25/06/2023 23:29:22,ESCANER
12684,"Retalhuleu",11,"Retalhuleu",1,1731,400,52,1,3,73,2,1,0,1,5,12,7,8,0,0,38,1,0,0,2,7,1,1,4,28,247,18,2,267,0,267,1,400,132,247,267,267,,1,bee8ebf7031e148a93582269e19d6fa281b79f088a2ce12de7156cbce699308f,26/06/2023 00:06:22,ESCANER
12685,"Retalhuleu",11,"Retalhuleu",1,1731,262,25,3,3,61,2,1,1,0,2,18,0,8,1,0,14,2,1,0,1,5,0,1,0,13,162,17,2,181,0,181,--,262,81,162,181,181,Algún campo sin dato,1,5da7d74b88220573f221841c8c5ccb0736703674e7ea61533a71499a197ee7c3,25/06/2023 20:29:20,ESCANER
12686,"Retalhuleu",11,"Retalhuleu",1,1731,262,25,2,2,48,0,0,0,0,3,11,1,5,0,0,17,0,0,1,1,1,0,0,0,13,130,10,3,143,0,143,--,262,119,130,143,143,Algún campo sin dato,1,8aa2ca0c62b0e6efca023ff565987d298967c6ae2a4dfe14006bde6850d3bcca,25/06/2023 22:14:23,ESCANER
12687,"Retalhuleu",11,"Retalhuleu",1,1732,380,14,0,1,87,5,13,1,2,0,16,5,5,1,0,31,0,0,0,0,9,1,0,0,3,194,30,12,236,0,236,--,380,144,194,236,236,Algún campo sin dato,1,82313cf3ffead58e84a7cf8223bc559b21545f1f165182388d202df88bafda83,26/06/2023 00:06:22,ESCANER
12688,"Retalhuleu",11,"Retalhuleu",1,1732,380,26,0,0,86,1,10,1,0,0,15,4,2,2,0,36,0,0,0,0,1,0,0,1,2,187,29,13,229,0,229,--,380,151,187,229,229,Algún campo sin dato,1,645e2f8feee264515522720b72262cf8a86c177e23be95f10ee047837f3746c8,26/06/2023 00:37:38,ESCANER
12689,"Retalhuleu",11,"Retalhuleu",1,1732,380,16,0,0,77,4,9,2,1,0,23,1,10,1,1,36,0,0,0,0,5,0,1,0,6,193,33,16,242,0,242,--,377,135,193,242,242,Algún campo sin dato,1,f60da253ba2a66d5c6674b05e43e874277acc192501ed000a0b7b3887497c79a,26/06/2023 02:26:14,ESCANER
12690,"Retalhuleu",11,"Retalhuleu",1,1732,380,13,3,0,90,3,5,4,2,0,17,3,5,3,1,26,1,0,1,2,8,3,1,0,2,193,32,14,239,0,239,--,277,138,193,239,239,Algún campo sin dato,1,16f2bca0d1a375eefac7b6e07aa532ffcbf3b9bf6f7ff966c81eec6541b87616,26/06/2023 01:19:22,ESCANER
12691,"Retalhuleu",11,"Retalhuleu",1,1732,380,26,2,1,69,5,7,2,2,0,14,8,1,1,1,52,0,0,0,1,16,1,0,0,2,211,30,15,256,0,256,--,375,119,211,256,256,Algún campo sin dato,1,0d02b933973ab4373c11c9e5f862a17152d97dd842cafda749aa0378e2d4f782,26/06/2023 01:43:45,ESCANER
12692,"Retalhuleu",11,"Retalhuleu",1,1732,380,22,0,0,77,8,7,2,1,1,18,3,6,1,1,51,1,0,0,0,8,3,0,0,1,211,28,10,249,0,249,--,377,128,211,249,249,Algún campo sin dato,1,8671194fa5d2306b2e4988014a96e2811a9662077fa4467194b97ab0bdd4c542,25/06/2023 23:17:41,ESCANER
12693,"Retalhuleu",11,"Retalhuleu",1,1732,380,26,1,1,85,6,6,0,0,1,18,2,2,0,1,26,0,0,0,0,6,0,0,0,3,184,11,10,205,0,205,--,380,175,184,205,205,Algún campo sin dato,1,ea2a7cfc840ef527720568e9e1528406690f1cc3c2da5bab1d1c8b25783f69dc,26/06/2023 00:53:39,ESCANER
12694,"Retalhuleu",11,"Retalhuleu",1,1732,380,25,2,0,84,5,8,0,2,0,21,4,5,2,0,46,0,0,0,0,7,1,0,1,0,212,35,12,259,0,259,--,380,121,213,260,260,Sumas Asentadas sin cuadrar,1,e086563239eda48dc17f3f00a0d80ee1c00cf2a108cc755adf4077af7a659e3d,26/06/2023 02:40:55,ESCANER
12695,"Retalhuleu",11,"Retalhuleu",1,1732,380,28,1,0,78,1,8,0,1,0,18,5,6,0,2,43,0,0,0,0,12,4,0,0,0,207,36,15,258,0,258,--,371,113,207,258,258,Algún campo sin dato,1,a90ae1e8bfc7a328d1489286e48da57bdc6cc6949bbcf97850e2d5d2240bb7d7,26/06/2023 01:03:37,ESCANER
12696,"Retalhuleu",11,"Retalhuleu",1,1732,380,15,2,0,87,3,7,0,1,0,16,5,1,2,1,53,0,0,0,0,14,1,0,0,2,210,19,25,254,0,254,--,380,126,210,254,254,Algún campo sin dato,1,a586f31036bb97d49835ef5b4e9ec71e033ad1df36df11a66d7cf00bb518439f,26/06/2023 01:51:06,ESCANER
12697,"Retalhuleu",11,"Retalhuleu",1,1732,380,17,0,0,84,4,8,1,3,2,23,7,2,1,1,38,0,0,1,0,9,1,0,1,1,204,23,5,232,0,232,--,371,139,204,232,232,Algún campo sin dato,1,0c48868c565b8a399701f2baf3fe3787e931bde250b9888b369769f95313b9aa,26/06/2023 02:32:45,ESCANER
12698,"Retalhuleu",11,"Retalhuleu",1,1732,380,20,3,0,66,4,4,0,2,0,13,4,2,1,2,56,0,0,0,0,2,1,1,0,2,183,27,13,223,0,223,--,377,154,183,223,223,Algún campo sin dato,1,aa97116ef2f1c6fad662cc91c3ec320d19e9a281ee9469192175ca7b28b8c5dd,25/06/2023 23:47:29,ESCANER
12699,"Retalhuleu",11,"Retalhuleu",1,1733,380,19,1,0,77,5,0,0,0,1,18,2,4,1,0,45,0,0,0,0,11,0,1,1,1,187,22,12,221,0,221,--,376,155,187,221,221,Algún campo sin dato,1,04c7d4bdcec6ae4100c90d40077716dedeb4337dfccc1cf22ff79b1a76382323,26/06/2023 01:11:24,ESCANER
12700,"Retalhuleu",11,"Retalhuleu",1,1733,380,21,1,0,90,5,15,2,0,0,21,5,3,2,2,49,0,0,0,0,5,1,0,1,4,227,27,17,271,0,271,--,380,109,227,271,271,Algún campo sin dato,1,5e9dbc31a50fad71253b9f5d6b39a0c19540891aa8c26a7668f1135af704d9a9,26/06/2023 00:05:24,ESCANER
12701,"Retalhuleu",11,"Retalhuleu",1,1733,380,27,1,0,77,3,12,0,0,1,19,6,3,1,0,40,0,0,0,0,9,0,0,1,1,201,35,16,252,0,252,--,380,128,201,252,252,Algún campo sin dato,1,ec73510d1f964cd9f6ef358d8005804a37a42dc5a1b2e887aabaaede34bfd0bf,25/06/2023 22:30:55,ESCANER
12702,"Retalhuleu",11,"Retalhuleu",1,1733,380,22,2,0,70,3,9,3,0,0,16,8,1,1,0,50,0,0,0,0,5,1,0,1,3,195,36,19,250,2,252,--,380,128,195,250,252,Algún campo sin dato,1,4e2530623f5ef3fa62d0b49fee8f508ee8ac1fb502eae1a3f70c42bde7bcf304,26/06/2023 00:24:44,ESCANER
12703,"Retalhuleu",11,"Retalhuleu",1,1733,380,18,1,0,82,0,6,0,0,1,16,3,1,1,1,39,0,0,0,0,4,0,0,0,1,174,35,18,227,0,227,--,380,153,174,227,227,Algún campo sin dato,1,450a8ff509095e24e516b6e74f5603993de48b43c73100b6b5f0e34493d4403c,26/06/2023 01:46:54,ESCANER
12704,"Retalhuleu",11,"Retalhuleu",1,1733,380,18,0,0,79,5,8,2,0,0,11,2,2,2,2,41,0,1,0,2,4,0,0,1,4,184,27,19,230,0,230,--,380,150,184,230,230,Algún campo sin dato,1,3f9a16ea8b9e16a116a19556e513fcf0fcbc3e986eda91364efd3fa8b9cf218e,26/06/2023 01:29:58,ESCANER
12705,"Retalhuleu",11,"Retalhuleu",1,1733,380,16,1,0,78,3,6,0,0,0,11,4,1,0,1,40,0,0,0,0,6,2,0,0,3,172,16,5,193,0,193,--,380,187,172,193,193,Algún campo sin dato,1,1e7a44a0a7bedf6232519df46ebb7491e503c4950983766b8f64560fb996b733,26/06/2023 00:53:32,ESCANER
12706,"Retalhuleu",11,"Retalhuleu",1,1733,380,20,0,0,106,1,2,0,1,1,8,1,5,0,0,29,0,0,0,0,0,3,2,0,2,181,16,3,200,0,200,--,380,180,181,200,200,Algún campo sin dato,1,cfe6c6a778c3d00d3fc3a6a0bb50d65795b8de0587055e12be1ed68c695f22a0,25/06/2023 23:53:29,ESCANER
12707,"Retalhuleu",11,"Retalhuleu",1,1733,380,28,0,1,74,4,7,0,0,0,10,0,4,0,0,46,0,0,0,0,7,2,0,0,8,191,21,4,216,0,216,--,380,164,191,216,216,Algún campo sin dato,1,d051e644e44d63641fa67befed59b8cc5bbad35ab39b830dc98c834710ca23e3,26/06/2023 00:48:11,ESCANER
12708,"Retalhuleu",11,"Retalhuleu",1,1733,380,17,0,0,97,1,9,0,0,0,15,3,0,0,0,42,0,0,0,0,3,2,0,0,1,190,18,11,219,0,219,--,380,161,190,219,219,Algún campo sin dato,1,3d6d2c886adc1564b28585417d310b24218f30d9eac69dcc09a887f87fd759bb,25/06/2023 22:58:32,ESCANER
12709,"Retalhuleu",11,"Retalhuleu",1,1733,380,12,0,0,104,1,1,0,0,0,7,2,4,0,0,37,0,0,0,0,6,0,1,0,3,178,13,2,193,0,193,--,380,187,178,193,193,Algún campo sin dato,1,12f7166b580490eb0b48e64021521235fe65c661fd97caf5bf9de7691dd0b9e0,25/06/2023 23:25:32,ESCANER
12710,"Retalhuleu",11,"Retalhuleu",1,1733,218,11,1,0,43,2,3,0,1,0,7,3,1,0,1,24,0,0,0,0,5,0,1,0,1,104,6,4,114,0,114,--,218,104,104,114,114,Algún campo sin dato,1,5e2e3eab41b3534f5d0a3308bf54370ff51854261d0a6d2368ddcb1c9a1b2f6c,25/06/2023 23:46:27,ESCANER
12711,"Retalhuleu",11,"Retalhuleu",1,1733,217,5,0,0,44,1,3,2,0,1,8,0,1,0,0,15,0,0,0,0,1,0,0,1,1,83,8,8,99,0,99,--,217,118,83,99,99,Algún campo sin dato,1,16c35698b079d93468c382baf3b6b7916cf9960d2c1ad30834262cea6f828e4c,25/06/2023 22:07:28,ESCANER
12712,"Retalhuleu",11,"Retalhuleu",1,1734,380,41,2,1,74,21,6,2,2,0,18,3,4,1,2,50,0,0,0,0,11,0,1,0,4,243,26,19,288,0,288,--,375,87,243,288,288,Algún campo sin dato,1,9547f246ca922cab5b5d2a2ec226f741b50fb242c4a1c15fb747ef6a3ebc69cf,26/06/2023 01:07:14,ESCANER
12713,"Retalhuleu",11,"Retalhuleu",1,1734,380,29,2,0,66,23,6,1,2,0,33,2,8,1,2,44,0,0,0,3,17,2,2,0,6,249,32,7,288,0,288,--,380,92,249,288,288,Algún campo sin dato,1,077b5868b753c5616d69fe5e411341657e9a2fc4b6074a0c63758d4a9e046e54,26/06/2023 01:14:02,ESCANER
12714,"Retalhuleu",11,"Retalhuleu",1,1734,380,29,2,1,92,23,5,1,1,0,25,3,3,1,0,33,0,0,1,0,14,0,3,0,3,240,24,10,274,2,276,--,380,104,240,274,276,Algún campo sin dato,1,ef64ace4530e0439bf2c55ddc91bfce0696dc72566610af86cdcb151208e865a,26/06/2023 02:57:07,ESCANER
12715,"Retalhuleu",11,"Retalhuleu",1,1734,380,26,3,0,83,16,4,0,0,3,22,5,6,1,1,37,0,0,2,0,19,0,1,0,4,233,23,13,269,0,269,--,380,111,233,269,269,Algún campo sin dato,1,3fc4a26be097d5d1d25b62ee43809a09c5ec7bc6ed1c47eaee5fcb4e1a29ae7f,26/06/2023 00:54:25,ESCANER
12716,"Retalhuleu",11,"Retalhuleu",1,1734,380,25,1,0,72,12,10,1,0,0,22,1,2,3,1,28,0,0,0,0,21,1,0,0,3,203,20,11,234,0,234,--,380,146,203,234,234,Algún campo sin dato,1,2a3ff707adca1795b64afab72279e806a4bd7c6f230b7034e83e9f982fdeea16,25/06/2023 23:28:28,ESCANER
12717,"Retalhuleu",11,"Retalhuleu",1,1734,380,24,0,0,70,10,3,1,1,2,23,4,4,0,0,36,0,0,0,0,13,0,0,0,6,197,19,11,227,0,227,--,380,153,197,227,227,Algún campo sin dato,1,d5dd5219bfe2b9b45fc619fb36d1eafd1d40d3b39953aafd7eade3e627cf6fac,26/06/2023 00:03:43,ESCANER
12718,"Retalhuleu",11,"Retalhuleu",1,1734,380,36,0,1,78,17,1,1,0,0,23,1,4,1,1,36,1,0,0,0,8,0,1,1,4,215,8,3,226,0,226,--,380,154,215,226,226,Algún campo sin dato,1,6e06899523cc73f430aa0be7087eeeddf5ceb2ec2a99889b253f1a8534e589af,25/06/2023 23:48:35,ESCANER
12719,"Retalhuleu",11,"Retalhuleu",1,1734,209,14,1,0,61,12,0,0,1,0,8,1,4,1,0,17,0,0,0,0,5,2,0,1,1,129,8,4,141,0,141,--,209,68,129,141,141,Algún campo sin dato,1,6298242cbcc402057407843a4e8339a3fe06e2db6e826fe659c5a3423edf344b,25/06/2023 22:40:46,ESCANER
12720,"Retalhuleu",11,"Retalhuleu",1,1734,209,14,0,0,49,3,2,0,0,0,9,1,1,1,0,11,0,0,0,0,6,1,0,0,3,101,7,0,108,0,108,--,209,101,101,108,108,Algún campo sin dato,1,1a24fca1531c029ee0c16c6c602812a41aadd50b7b48192bb24e9c08ce33564b,25/06/2023 22:21:52,ESCANER
12721,"Retalhuleu",11,"Retalhuleu",1,1735,380,19,3,0,60,22,4,1,1,1,49,7,1,0,2,25,0,0,0,1,10,0,0,1,1,208,34,13,255,0,255,--,380,125,208,255,255,Algún campo sin dato,1,85e0b8b2c40e14765cdd1dce385a6967e76cd3db09ed092b842bcb63f6125d45,25/06/2023 22:27:14,ESCANER
12722,"Retalhuleu",11,"Retalhuleu",1,1735,380,22,1,0,71,20,2,1,0,0,49,3,5,0,0,23,2,0,0,0,19,1,0,1,4,224,26,11,261,0,261,--,380,119,224,261,261,Algún campo sin dato,1,80186d559ae2e35d2b889000784489dd2491b44db4a65e3f63871f1c248d09b0,26/06/2023 00:04:17,ESCANER
12723,"Retalhuleu",11,"Retalhuleu",1,1735,233,11,1,0,39,12,7,1,1,0,28,1,2,0,0,19,0,0,0,1,6,0,0,0,4,133,11,9,153,0,153,--,230,77,133,153,153,Algún campo sin dato,1,47e8ac0aa88c66aa71e91934d453fc755a0e9960171ef2be2f743fea97fa3b70,25/06/2023 21:06:30,ESCANER
12724,"Retalhuleu",11,"Retalhuleu",1,1735,232,16,0,0,45,16,2,0,0,1,24,0,0,0,0,14,0,0,0,0,9,0,0,0,6,133,6,5,144,0,144,--,229,85,133,144,144,Algún campo sin dato,1,fc4f76e8dbc31f53b7e58ef426c0b150a18b7708350b73d2de59c07ae094ffc5,25/06/2023 21:01:55,ESCANER
12725,"Retalhuleu",11,"Retalhuleu",1,1736,380,10,1,0,86,2,5,0,0,2,34,2,3,0,1,51,0,0,1,1,14,1,0,0,2,216,29,15,260,0,260,--,380,120,216,260,260,Algún campo sin dato,1,79af32c8002044294d8c9ce2bbece69faaef952eb36655847904a6725a1a6916,26/06/2023 00:08:01,ESCANER
12726,"Retalhuleu",11,"Retalhuleu",1,1736,380,21,1,0,44,4,5,1,1,0,16,4,7,5,0,42,0,1,0,0,11,0,1,2,1,167,37,20,224,0,224,--,380,156,167,224,224,Algún campo sin dato,1,c39b1b2a9013af28441a086539135a878c865c21701be98592b8d0bd5f41fb84,26/06/2023 00:04:32,ESCANER
12727,"Retalhuleu",11,"Retalhuleu",1,1736,380,7,2,0,64,1,6,0,0,2,25,2,5,1,1,40,0,0,0,0,6,0,0,0,1,163,27,9,199,0,199,--,380,181,163,199,199,Algún campo sin dato,1,0ab6743ead3d529763a1a602933baf5ec88e05c2d2f4237a86eb2e7280122cec,25/06/2023 23:35:27,ESCANER
12728,"Retalhuleu",11,"Retalhuleu",1,1736,380,17,0,1,42,1,4,1,0,4,33,3,3,0,1,47,0,0,1,0,11,0,1,1,2,173,25,13,211,0,211,--,380,169,173,211,211,Algún campo sin dato,1,341b2d7d9d3f380acba34ee7d2c8b8124f339d6e31fa12e9bbbdc8e3a4ff3f3e,25/06/2023 22:56:15,ESCANER
12729,"Retalhuleu",11,"Retalhuleu",1,1736,231,7,0,0,34,0,2,0,0,3,13,1,2,0,0,26,0,0,0,0,7,0,0,2,3,100,11,8,119,0,119,1,228,108,100,119,119,,1,c38e55be1a2d0ae4d0a9bd97c6c795b82f5e4c548b1fa973b37313084b471a31,25/06/2023 22:47:39,ESCANER
12730,"Retalhuleu",11,"Retalhuleu",1,1736,231,12,0,0,41,2,0,0,0,1,18,0,2,1,0,24,0,1,1,0,8,0,0,1,3,115,10,4,129,0,129,--,231,102,115,129,129,Algún campo sin dato,1,f9c03df5a14aadfcfc885b22fdcea7303fb899a464355f02e12b62e004bedf78,25/06/2023 22:21:17,ESCANER
12731,"Retalhuleu",11,"Retalhuleu",1,1737,600,37,2,4,33,3,2,0,1,2,18,3,6,1,1,27,0,1,0,0,5,1,1,0,7,155,19,8,182,6,188,--,600,412,155,182,188,Algún campo sin dato,1,3c235b829caa1934312f94c8759b89bbd1ff55070ca18a78f045af6cf69195d3,26/06/2023 01:40:58,ESCANER
12732,"Retalhuleu",11,"Retalhuleu",1,1737,600,43,4,3,53,0,8,0,2,2,14,4,9,1,0,24,0,0,0,1,5,1,0,1,15,190,18,13,221,0,221,--,600,379,190,221,221,Algún campo sin dato,1,9d3569e6b40f8119dd21389c7a4f11e27e4206e2aaa11b4512657033f10a9cfa,25/06/2023 23:47:50,ESCANER
12733,"Retalhuleu",11,"Retalhuleu",1,1737,600,34,2,1,50,6,1,1,0,1,11,4,9,2,0,26,0,0,0,0,8,2,1,0,20,179,27,7,213,0,213,--,600,387,179,213,213,Algún campo sin dato,1,fbdda3c0ab37e4f36c60683c669c865e5dbfabf70de45ca2c5a2048c6c2019ed,26/06/2023 01:32:51,ESCANER
